,name,main_category,sub_category,image,link,ratings,no_of_ratings
2000,"SanDisk Extreme Pro microSD UHS I Card 256GB for 4K Video on Smartphones,Action Cams,Drones 200MB/s Read, 140MB/s Write","tv, audio & cameras",All Electronics,https://m.media-amazon.com/images/I/615YdkNEs1L._AC_UL320_.jpg,https://www.amazon.com/SanDisk-Extreme-microSD-Smartphones-Action/dp/B09X7DMBVF/ref=sr_1_2003?qid=1679133777&s=electronics&sr=1-2003,4.5,"21,982"
17886,ANNI DESIGNER Women Rayon Printed Straight Kurta with Palazzos & Dupatta (DEB-Rayon SET10),women's clothing,Ethnic Wear,https://m.media-amazon.com/images/I/716hq1zIuNL._AC_UL320_.jpg,https://www.amazon.com/ANNI-DESIGNER-Womens-Straight-Multicolor/dp/B08RWQ1LLZ/ref=sr_1_18039?qid=1679154787&s=apparel&sr=1-18039,3.5,201
3048,NAINVISH Women/Girls Trending Printed Kurta,women's clothing,Clothing,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/81tc9XqavKL._AC_UL320_.jpg,https://www.amazon.com/NAINVISH-Women-Trending-Printed-SD420_K-S/dp/B0BH8DBZLP/ref=sr_1_3057?qid=1679152852&s=apparel&sr=1-3057,2.5,3
15657,PUMA Mens TRC Blaze The Triangle Sneakers Shoes Casual - Off White,men's shoes,Casual Shoes,https://m.media-amazon.com/images/I/51nom5l9zYL._AC_UL320_.jpg,https://www.amazon.com/Blaze-Triangle-Sneakers-Shoes-Casual/dp/B0BSB769P1/ref=sr_1_15806?qid=1679149198&s=shoes&sr=1-15806,,
6687,"Oaky Keyboard Protector Compatible with MacBook Air M1 13 inch 2020 Release Model A2179, A2337 Soft Silicone Waterproof Du...","tv, audio & cameras",All Electronics,https://m.media-amazon.com/images/I/61xHw8Ig1pL._AC_UL320_.jpg,https://www.amazon.com/Oaky-Protector-Compatible-Waterproof-Dust-Proof/dp/B08T8JKXJF/ref=sr_1_6690?qid=1679134067&s=electronics&sr=1-6690,4.1,788
7792,Radhey Krishna Enterprises Present Women's Maroon Poly Crepe Straight Kurta with Pant and Dupatta,women's clothing,Clothing,https://m.media-amazon.com/images/I/61t8oZvREbL._AC_UL320_.jpg,https://www.amazon.com/Enterprises-Maroon-Kurta-Pant-Dupatta/dp/B0BRXS8ZSV/ref=sr_1_7801?qid=1679153021&s=apparel&sr=1-7801,1,3
5133,Nike Womens Kd Trey 5 VIII Ep Basketball Shoes,men's shoes,Sports Shoes,https://m.media-amazon.com/images/I/81m2rpSxLhL._AC_UL320_.jpg,https://www.amazon.com/Nike-Unisex-Basketball-CK2089-005-University/dp/B095HSB6HM/ref=sr_1_5142?qid=1679147367&s=shoes&sr=1-5142,4.2,3
91,Aquarium Artificial Plastic Plant Fish Tank Ornament Tree Decoration,pet supplies,All Pet Supplies,https://m.media-amazon.com/images/I/716GFUhmCCL._AC_UL320_.jpg,https://www.amazon.com/JAINSONS-PET-PRODUCTS-Artificial-Decoration/dp/B06Y464P18/ref=sr_1_860?qid=1679214643&s=pet-supplies&sr=1-860,4.2,204
7139,Action Pro Protective Silicone Lens Cap for GoPro Hero 5/6/7/ Black Accessories,"tv, audio & cameras",Cameras,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/61-e1sGT6-L._AC_UL320_.jpg,https://www.amazon.com/Action-Pro-Protective-Protector-Accessories/dp/B07DY2D4N1/ref=sr_1_7143?qid=1679130332&s=electronics&sr=1-7143,3.8,510
6682,FASO Mens Organic Cotton Brief,men's clothing,Innerwear,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/61RL3sGfS4L._AC_UL320_.jpg,https://www.amazon.com/Faso-Organic-Cotton-Brief-Large/dp/B08RBQD71N/ref=sr_1_6687?qid=1679142713&s=apparel&sr=1-6687,3.8,6
78,"Portronics Konnect L 1.2Mtr, Fast Charging 3A Micro USB Cable with Charge & Sync Function (Grey)","tv, audio & cameras",Home Entertainment Systems,https://m.media-amazon.com/images/I/51SPbRMXiBL._AC_UL320_.jpg,https://www.amazon.com/Portronics-Konnect-POR-1079-Charging-Micro/dp/B08CDKQ8T6/ref=sr_1_82?qid=1679128127&s=electronics&sr=1-82,4.3,"7,352"
2050,IndiWeaves� Boys Snowfall Solid Regular Fit Full Sleeves T-Shirts {Pack of 4},kids' fashion,Kids' Fashion,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/51IIvTF5DOL._AC_UL320_.jpg,https://www.amazon.com/IndiWeaves%EF%BF%BD-Snowfall-Regular-T-Shirts-Multicolor104/dp/B0BBFQ75DK/ref=sr_1_12947?qid=1679221367&s=apparel&sr=1-12947,,
18935,Shoefly Men's Trendy & Stylish Sports Sneakers Shoes,men's shoes,Casual Shoes,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/61kF8E8QOOL._AC_UL320_.jpg,https://www.amazon.com/Shoefly-AMZ_1242-Black-Trendy-Sneakers/dp/B0B3VQS2CL/ref=sr_1_19088?qid=1679149318&s=shoes&sr=1-19088,,
9043,THE MEN THING European Style Genuine Leather Bracelet with Multi-Layer Braided Leather and 100% Stainless Steel Magnetic B...,stores,Men's Fashion,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/51-jogCw3uL._AC_UL320_.jpg,https://www.amazon.com/MEN-THING-European-Multi-Layer-Stainless/dp/B0BFFKRCR6/ref=sr_1_9052?qid=1679151092&s=apparel&sr=1-9052,5,1
289,SanDisk Extreme SD UHS I 32GB Card for 4K Video for DSLR and Mirrorless Cameras 100MB/s Read & 60MB/s Write,"tv, audio & cameras",Cameras,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/81Azm8B5u5L._AC_UL320_.jpg,https://www.amazon.com/SanDisk-Extreme-Video-Mirrorless-Cameras/dp/B09ZS1PHV4/ref=sr_1_293?qid=1679129937&s=electronics&sr=1-293,4.5,"215,311"
305,"Bulicorn Women's Cute Sports Running Shoes,Walking, Gym Casual Sneaker Lace-Up Shoes for Girl's",sports & fitness,Running,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/516YtaDqI+L._AC_UL320_.jpg,https://www.amazon.com/Bulicorn-Running-Walking-Sneaker-Numeric_6/dp/B0BT23BL5W/ref=sr_1_3690?qid=1679217408&s=sports&sr=1-3690,,
18090,Numero Uno Men Jeans,men's clothing,Jeans,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/81YYFBFKhQL._AC_UL320_.jpg,https://www.amazon.com/Numero-Uno-Jeans-KMJNRY485_Dark-Blue_30/dp/B0BC1CBPKK/ref=sr_1_18099?qid=1679142432&s=apparel&sr=1-18099,,
11299,As Enterprises_Leather Formal Shoes for Mens Black,men's shoes,Formal Shoes,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/31lgu9IBvhL._AC_UL320_.jpg,https://www.amazon.com/Enterprises_Leather-Formal-Shoes-Mens-Black/dp/B0BHNQBPFX/ref=sr_1_11308?qid=1679148315&s=shoes&sr=1-11308,,
321,"POND'S Super Light Gel Oil Free Face Moisturizer 100 ml, With Hyaluronic Acid & Vitamin E for Fresh Glowing Skin & 24 hr H...",stores,Amazon Fashion,https://m.media-amazon.com/images/I/51fmCmXIREL._AC_UL320_.jpg,https://www.amazon.com/Ponds-Super-Light-Gel-100ML/dp/B09Z6T8H41/ref=sr_1_1762?qid=1679212378&s=apparel&sr=1-1762,4.3,"11,088"
14085,Kirti Sales 19.25 Ratti 18.25 Carat A+ Quality Natural Burma Ruby Manik Unheated Untreatet Gemstone Gold Ring for Women's ...,accessories,Jewellery,https://m.media-amazon.com/images/I/51h+MX-JXyL._AC_UL320_.jpg,https://www.amazon.com/Kirti-Sales-Unheated-Untreatet-Certified/dp/B09TFJYZPT/ref=sr_1_14142?qid=1679145629&s=jewelry&sr=1-14142,,
10721,XDIAMOND Women Non Padded Cotton Apple Net Self Design Bra Panty Set Lingerie Set-(White),women's clothing,Lingerie & Nightwear,https://m.media-amazon.com/images/I/71Tv479tCGL._AC_UL320_.jpg,https://www.amazon.com/XDIAMOND-Padded-Cotton-Design-Lingerie/dp/B09TBDW87M/ref=sr_1_10730?qid=1679155255&s=apparel&sr=1-10730,3.3,7
18579,MUKHAKSH Women/Ladies/Girls Hot/Latest/Stylish Striped Printed Palazzo,women's clothing,Western Wear,https://m.media-amazon.com/images/I/71Yi4FYsiLL._AC_UL320_.jpg,https://www.amazon.com/MUKHAKSH-Ladies-Striped-Printed-Palazzo/dp/B07P83DZ87/ref=sr_1_18584?qid=1679154114&s=apparel&sr=1-18584,,
13365,Earton Men's Canvas Shoes with Loafer and Moccasins (7 UK) - Combo Pack of 3,men's shoes,Casual Shoes,https://m.media-amazon.com/images/I/6110lKs6cPL._AC_UL320_.jpg,https://www.amazon.com/Earton-Combo-Casual-Loafer-Moccasins/dp/B06WV87JCQ/ref=sr_1_13518?qid=1679149110&s=shoes&sr=1-13518,3.3,3
2245,Jemskart 8.25 Ratti Blue Sapphire (NEELAM/NILAM Stone) Original Certified Natural Gemstone,accessories,Jewellery,https://m.media-amazon.com/images/I/31-vf-bbTEL._AC_UL320_.jpg,https://www.amazon.com/Jemskart-Sapphire-Original-Certified-Gemstone/dp/B0BMT96BD7/ref=sr_1_2254?qid=1679145226&s=jewelry&sr=1-2254,,
6337,Whitewhale Men Women Summer Loose Baggy Hippie Boho Gypsy Harem Pants,women's clothing,Clothing,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/916REPL2bIL._AC_UL320_.jpg,https://www.amazon.com/Whitewhale-Women-Summer-Loose-Hippie/dp/B08H4YQDHV/ref=sr_1_6342?qid=1679152970&s=apparel&sr=1-6342,3.7,154
2652,CEDO Samsung M33 (5G) Case Back Cover Shockproof Bumper Crystal Clear | 360 Degree Protection TPU+PC | Camera Protection |...,"tv, audio & cameras",All Electronics,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/61-mi2FsDxL._AC_UL320_.jpg,https://www.amazon.com/CEDO-Samsung-M33-Transparent-Galaxy/dp/B09YR95CN3/ref=sr_1_2655?qid=1679133820&s=electronics&sr=1-2655,4.2,248
17437,"Element Cart Women Black Color PU Leather Clutch, Purse and Wallet(CLUTCH-172-BLK-SQR)",accessories,Handbags & Clutches,https://m.media-amazon.com/images/I/81WfWclr50L._AC_UL320_.jpg,https://www.amazon.com/Element-Cart-Leather-Clutch-CLUTCH-172-BLK-SQR/dp/B07SZN5Y88/ref=sr_1_17490?qid=1679159176&s=shoes&sr=1-17490,1,4
4426,kanvas katha Women's Sling Bag (Multicolor),accessories,Handbags & Clutches,https://m.media-amazon.com/images/I/A1AZuj-wiAL._AC_UL320_.jpg,https://www.amazon.com/Kanvas-Katha-Women-Sling-KKVGT006/dp/B01F5HIVVC/ref=sr_1_4431?qid=1679158740&s=shoes&sr=1-4431,3.8,403
5834,"Macho Mens Parka Cotton Vest, Pack of 6 (95 cm) White",men's clothing,Innerwear,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/41oV+Q-a7oL._AC_UL320_.jpg,https://www.amazon.com/Macho-Mens-Parka-Cotton-White/dp/B08BFX9YXH/ref=sr_1_5843?qid=1679142681&s=apparel&sr=1-5843,5,3
18781,Van Heusen Men Shirt,men's clothing,Shirts,https://m.media-amazon.com/images/I/71j1WcJZkhL._AC_UL320_.jpg,https://www.amazon.com/Van-Heusen-Regular-Shirt-VHSH318M012880_White/dp/B09FF7TL8M/ref=sr_1_18786?qid=1679141625&s=apparel&sr=1-18786,,
13175,Wrangler Men's Slim Jeans (WMSH004518_Light Indigo,men's clothing,Jeans,https://m.media-amazon.com/images/I/81O5j--u8dL._AC_UL320_.jpg,https://www.amazon.com/Wrangler-Mens-Jeans-WMSH004518_Light-Indigo/dp/B0BTDBB1T1/ref=sr_1_13184?qid=1679142237&s=apparel&sr=1-13184,,
13657,Priyaasi Leaf Link American Diamond Silver-Plated Jewellery Set,accessories,Fashion & Silver Jewellery,https://m.media-amazon.com/images/I/61cWDos6uGL._AC_UL320_.jpg,https://www.amazon.com/Priyaasi-American-Diamond-Silver-Plated-Jewellery/dp/B0BSFPTKRJ/ref=sr_1_13714?qid=1679160420&s=jewelry&sr=1-13714,,
10464,Clarks Nova Spark Stone Knit,men's shoes,Sports Shoes,https://m.media-amazon.com/images/I/71e+Uk0WS+L._AC_UL320_.jpg,https://www.amazon.com/Clarks-Nova-Spark-Stone-Knit/dp/B0B9BXVWHT/ref=sr_1_10469?qid=1679147564&s=shoes&sr=1-10469,5,1
11740,CRAFTS MY DREAM Handmade Canvas Sling Bag Black and White Cross and Polka Print Lightweight and Durable Women’s Cross Body...,accessories,Bags & Luggage,https://m.media-amazon.com/images/I/61IZFnuDqkL._AC_UL320_.jpg,https://www.amazon.com/CRAFTS-MY-DREAM-Handmade-Lightweight/dp/B0BPPSTK6F/ref=sr_1_11749?qid=1679144280&s=luggage&sr=1-11749,,
14027,Max mens Pa20mfsp1023 Sneakers,men's shoes,Casual Shoes,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/6178u30s8uL._AC_UL320_.jpg,https://www.amazon.com/Textured-Lace-Up-Casual-Shoes-SUPLEMOV3CHARCOAL_CHARCOAL_42/dp/B091M7PZMQ/ref=sr_1_14176?qid=1679149135&s=shoes&sr=1-14176,,
1847,"Cooler Traveling Cup, Portable Car Refrigeration Cup Water Cup USB Refrigeration Cup for Home Office Camping Travel Car Pi...",appliances,Refrigerators,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/61rJch5NVXL._AC_UL320_.jpg,https://www.amazon.com/Cooler-Traveling-Portable-Refrigeration-Camping/dp/B0BCGJCXPN/ref=sr_1_1854?qid=1679134371&s=kitchen&sr=1-1854,,
26,"Lloyd 1.5 Ton 3 Star Inverter Split Ac (5 In 1 Convertible, Copper, Anti-Viral + Pm 2.5 Filter, 2023 Model, White, Gls18I3...",appliances,Kitchen & Home Appliances,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/31UISB90sYL._AC_UL320_.jpg,https://www.amazon.com/Lloyd-Inverter-Convertible-Anti-Viral-GLS18I3FWAMC/dp/B0BRKXTSBT/ref=sr_1_30?qid=1679134467&s=kitchen&sr=1-30,4.2,"2,255"
3500,Casio Analog-Digital Pink Dial Women's Watch-MSG-B100-4ADR,accessories,Watches,https://m.media-amazon.com/images/I/614yjTrlNHL._AC_UL320_.jpg,https://www.amazon.com/Casio-Analog-Digital-Pink-Womens-Watch-MSG-B100-4ADR/dp/B09MFRZV5B/ref=sr_1_3509?qid=1679155742&s=watches&sr=1-3509,,
17697,Axter Men's (9098-9312) Casual Sports Running Shoes (Set of 2 Pair),stores,Men's Fashion,https://m.media-amazon.com/images/I/718kptouZFL._AC_UL320_.jpg,https://www.amazon.com/Axter-9098-9312-Multicolor-Casual-Running/dp/B09CZDBWZ4/ref=sr_1_17706?qid=1679151594&s=apparel&sr=1-17706,3,1
1136,FAUSTO Men's Back Open Slip On Shoes for Casual Outfit|Evening|Outdoor|Daily|Fashion|Trending|Lightweight and Comfort with...,men's shoes,Casual Shoes,https://m.media-amazon.com/images/I/61kRvqcGy+L._AC_UL320_.jpg,https://www.amazon.com/FAUSTO-Mens-Cheeku-Loafers-FST-1261-44/dp/B07R4LY8ZX/ref=sr_1_1145?qid=1679148659&s=shoes&sr=1-1145,3.2,832
14046,CAVALLO by Linen Club Blue Checked Regular Fit Linen Shirt,men's clothing,Shirts,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/712vI93z4PL._AC_UL320_.jpg,https://www.amazon.com/CAVALLO-Linen-Club-Checked-Regular/dp/B0BP6SHWG9/ref=sr_1_14055?qid=1679141403&s=apparel&sr=1-14055,,
89,Senco Gold 22k (916) Yellow Gold Stud Earrings for Women,accessories,Gold & Diamond Jewellery,https://m.media-amazon.com/images/I/7192Ion12hL._AC_UL320_.jpg,https://www.amazon.com/Senco-Gold-Yellow-Earrings-Women/dp/B0859PY9L9/ref=sr_1_98?qid=1679159238&s=jewelry&sr=1-98,,
2304,"Relish Birthday Gift for Mother, Analogue Watch & Best Mom Ever Printed Black Ceramic Coffee Mug | Gift Pack for Women's &...",accessories,Watches,https://m.media-amazon.com/images/I/61fyqBQOxHL._AC_UL320_.jpg,https://www.amazon.com/Relish-Birthday-Analogue-Printed-Ceramic/dp/B0BTYRLWBY/ref=sr_1_2309?qid=1679155703&s=watches&sr=1-2309,5,1
2492,Centrino Mens 6014-04 Sneaker,men's shoes,Casual Shoes,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/61JdV9K-LDL._AC_UL320_.jpg,https://www.amazon.com/Centrino-Mens-Navy-Sneaker-6014-04/dp/B09PLDM9MJ/ref=sr_1_2501?qid=1679148709&s=shoes&sr=1-2501,3.5,11
637,"RIGHT STEPS Women's Stylish Soft Comfort Sandal, Girls Sandal",women's shoes,Shoes,https://m.media-amazon.com/images/I/51LXxQ2nUPL._AC_UL320_.jpg,https://www.amazon.com/Right-Womens-Stylish-Comfort-Sandal/dp/B0B7NYD1GN/ref=sr_1_7454?qid=1679211552&s=shoes&sr=1-7454,5,2
15524,P. C. Chandra Jewellers 22KT Yellow Gold Chain for Women,accessories,Gold & Diamond Jewellery,https://m.media-amazon.com/images/I/51s9NP0OqyL._AC_UL320_.jpg,https://www.amazon.com/PC-Chandra-Jewellers-Yellow-Chain/dp/B07HMZJQ3Q/ref=sr_1_15581?qid=1679159800&s=jewelry&sr=1-15581,,
14764,NEUTRON Exclusive Analog Black Color Dial Women Watch - GCPL34-GW66 (Pack of 2),accessories,Watches,https://m.media-amazon.com/images/I/71VQ7jczZHL._AC_UL320_.jpg,https://www.amazon.com/NEUTRON-Exclusive-Analog-Black-Color/dp/B0BMWD6QM8/ref=sr_1_14840?qid=1679156152&s=watches&sr=1-14840,,
17559,PC Jeweller 22k (916) Yellow Gold Laxmi Ganesh Coin,accessories,Jewellery,https://m.media-amazon.com/images/I/51G6H1TgvqL._AC_UL320_.jpg,https://www.amazon.com/PC-Jeweller-Yellow-Laxmi-Ganesh/dp/B08CVQMS5X/ref=sr_1_17616?qid=1679145748&s=jewelry&sr=1-17616,,
3051,"AK-G Type C Wired Earphone For Vivo X27 Pro , Vivo X 27 Pro AK-G Type C Wired Earphone Headphone with Mic,Inline Remote,Ri...","tv, audio & cameras",Headphones,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/61ijir6ozPL._AC_UL320_.jpg,https://www.amazon.com/Earphone-Headphone-Isolation-Compatible-Samsung/dp/B0BXX2HKKR/ref=sr_1_3055?qid=1679128876&s=electronics&sr=1-3055,,
9761,USPTO Nepal Sarva Siddha Mala 1 to 14 Mukhi Original Certified with Gauri Shankar & Ganesh Rudraksha Rudracham Rutracham स...,accessories,Jewellery,https://m.media-amazon.com/images/I/41FjkozVxeL._AC_UL320_.jpg,https://www.amazon.com/USPTO-Certified-Rudraksha-Rudracham-Rutracham/dp/B0B6313R5N/ref=sr_1_9770?qid=1679145479&s=jewelry&sr=1-9770,,
9631,AVSAR 18k (750) White Gold and Diamond Pendant for Women,accessories,Gold & Diamond Jewellery,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/61ocMNzDLUL._AC_UL320_.jpg,https://www.amazon.com/AVSAR-White-Diamond-Pendant-Women/dp/B07X6BPLWW/ref=sr_1_9640?qid=1679159585&s=jewelry&sr=1-9640,,
1220,"NICE PURSE Denim Grey, Blue Men & Women Sling Bag - Regular Size (Grey/Blue)",stores,Women's Fashion,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/81k13av+6bL._AC_UL320_.jpg,https://www.amazon.com/NICE-PURSE-Denim-Women-Sling/dp/B09S4RCBLV/ref=sr_1_12741?qid=1679212270&s=apparel&sr=1-12741,3.7,13
4037,Harpa Women Dress,women's clothing,Clothing,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/61+Na1SvlFL._AC_UL320_.jpg,https://www.amazon.com/Harpa-Womens-Skater-Dress-GR2211_Peach_Small/dp/B01LXB7UZ1/ref=sr_1_4042?qid=1679152888&s=apparel&sr=1-4042,4,670
8904,Jiyansh Matters Waterproof Dustproof Multicolor PVC LED/LCD Television Cover Compatible for Samsung 43 Inches LED/LCD Desi...,"tv, audio & cameras",Home Entertainment Systems,https://m.media-amazon.com/images/I/71mhLb6bbtL._AC_UL320_.jpg,https://www.amazon.com/Waterproof-Dustproof-Multicolor-Television-Compatible/dp/B0933P54MK/ref=sr_1_8932?qid=1679128627&s=electronics&sr=1-8932,,
7576,DHRUV-PRO 433 MHz 10A 1 Channel Receiver Wireless Relay RF Remote Control DC12V DIY Integrated Circuits Switch Module,"tv, audio & cameras",Home Entertainment Systems,https://m.media-amazon.com/images/I/51pN6g60wUL._AC_UL320_.jpg,https://www.amazon.com/DHRUV-PRO-Receiver-Wireless-Integrated-Circuits/dp/B09GS6B1TZ/ref=sr_1_7583?qid=1679128550&s=electronics&sr=1-7583,,
4124,U.S. POLO ASSN. Men's Regular Fit Polo,men's clothing,T-shirts & Polos,https://m.media-amazon.com/images/I/81P+ITZFv1L._AC_UL320_.jpg,https://www.amazon.com/Polo-Association-Mens-Shirt-USTSH0594_Green_M/dp/B09F66RKN6/ref=sr_1_4133?qid=1679140052&s=apparel&sr=1-4133,3.2,19
